review_id,user_id,business_id,stars,useful,funny,cool,text,date
rsVqYKtEZykBZqwur6QyVw,HFFiM63x9asevqVOZG5GBQ,L8rJht4Jw_BuR8gsckEWYg,5.0,0,0,0,"Famous for its cheesecake and infamous for its two-hour waits, I must admit up front that I had no intention of liking this restaurant. I considered it to be over hyped and overrated; however, after a very satisfying early Saturday lunch, I now feel completely different.

We arrived at 11:00AM and were seated immediately, fortunately in Melissa's section. We had a $50 gift card to play with. We started things off with a very tasty beet and goat cheese salad for $7.95. Fresh and warm honey wheat and sourdough loaves were also served and were very satisfying.

For our entrees, my wife ordered the smoked salmon which was thinly sliced and doused with a balsamic glaze for $11.95, and I ordered the French country salad with chicken for $15.95. Both were quite good. We intentionally kept things light, knowing that we were each going to do some serious damage to cheesecake for dessert. 

As an admitted dessert snob, I did have my doubts regardless of the fact that cheesecake was their specialty. I never consider any dessert unless it's made in house and most of the time they are not.

After drooling over the choices on the menu and in the display case, we finally settled on the Oreo and the praline. Slices are huge and run a very reasonable $7.95 when compared to similar restaurants. More importantly, they were other worldly! The Oreo cheesecake had fresh crunchy Oreos baked in, an Oreo crust and was topped with crushed Oreos and fresh whipped cream. The praline was equally as good and was topped with Nutella and fresh creme. No we didn't finish them both but we sure did enjoy them there and at home. I am nonsmoker, and never have, but I almost had to have a cigarette afterwards. Yes it was that good!

Hey what can I say, I was wrong. No wonder people wait 2 hours to dine here. I won't do that anywhere no matter how great but I will return for another 11:00 Saturday lunch. By the way, when we left at 1:00 there was a 2 hour wait.

Overall, menu was huge, the food was great, the cheesecake incredible, service provided by Melissa was attentive and helpful, and the atmosphere was comfortable and fun. And on top of everything else, it had a 96 sanitary rating. There's no way I can give it anything but five stars! And of course it is a Gotta Try!",2017-02-09 04:06:45
T5dE90hplvP7UWQqYxYMTg,K1osyO04_hXoDKyGqe_V2Q,L8rJht4Jw_BuR8gsckEWYg,2.0,0,0,0,"I want to preface this review by admitting I didn't want to come here and I don't like chain restaurants like this, but someone we were going out to eat with really wanted to go here.

The restaurant was crazy busy and it's huge, so it was really loud.  The tables are like a faux-marble type material, so when the bus-boys were setting the tables and throwing down the utensils repeatedly, the sounds got real old fast.

We went here for lunch  and got the nachos with chicken as our app.  There was literally 5 random pieces of chicken on the nachos and it was gross and the flavoring was super sweet, which is weird to put on nachos.  The chips were saturated in grease and I'm not really sure why...

I ordered the Monterrey Burger to be cooked medium.  It was burnt\/charred in some spots and completely brown throughout the burger.  It wasn't that great.  The arugula it came with was put on top of the hot burger, so it was all wilted and not the best consistency.  I only ate half my burger.  

We all got cheesecake since we felt like we kind of had to.  I ordered the Oreo cheesecake and it fell short IMO.  The cheesecake itself was delicious! However, it was covered in thick chocolate cake and it was so rich - I didn't eat that part.

Overall, it was pretty much what I expected from a place like this.",2013-06-24 15:00:55
j5MrhwuMcvNkHO4q5ocdWg,GOk6jLtou4Gufxo-rtX5ZA,L8rJht4Jw_BuR8gsckEWYg,5.0,0,0,0,"Went here for me and my boyfriends anniversary and it was so awesome. Our waiter, Joe, was honest with me when I asked him what his favorite cocktails were, and his favorite entree. He recommended the pineapple mojito which was delicious and the shepherds pie, which was probably one of the best meals I've had out to eat ever! Awesome service and food :)",2016-12-19 07:12:54
yHTyWcbGR30Y9tXB8nPpSQ,BCHZd09vfR1ztLlFeTrzbQ,L8rJht4Jw_BuR8gsckEWYg,1.0,0,0,0,"I'm not sure if I came in at a bad time... I came in for lunch with my friend and it was certainly busy. When we were seated our waitress was very friendly at first. She was very attentive (which she should be considering how expensive this restaurant is). I ordered the Fettuccine Alfredo and when it came out it looked delicious. It tasted absolutely HORRIBLE... It was loaded down with garlic and it ended up making me throw-up sick. I called the manager over and he didn't offer to take it off the check or anything. I told him to just bring me a burger to go. The waitress came back out about 30 minutes later with the burger and it wasn't in a to-go box. I had to ask her to bring me a box for it and she had an attitude. I said thank you and was continuously polite throughout my visit and she never said ""you're welcome"" or anything very polite back. Whenever I said ""thank you"" she just turned away. She wasn't horribly rude, but I definitely expect more for such an expensive restaurant. After we left, about 30 minutes later I had to go to the bathroom and throw up. I won' be coming back... This restaurant is not at all what it is talked up to be!!",2014-04-19 14:11:00
F813bToytGklZok1WVxl6w,X3h37GG6Za3qhVZiOnzIcw,L8rJht4Jw_BuR8gsckEWYg,2.0,3,0,0,"Ive eaten at Cheesecake Factory at other locations and had a much better experience, so here we go....We arrive around 12ish on a sunday, which was a horrible time at the South Park mall, dont do it, unless U are jus that bored.  We waited approx 1hr, didnt leave because we knew all the other restaurants would have the same wait time. Once we were seated it went all down hill from there. We didnt get a ""hey how are U"" nor good afternoon, The waitress Whitney K. acted as if we were a bother the whole time. I ordered the veggie appetizer, had to ask for sauce, then I ordered the fish and chips-  asked her if I could substitute the the cole slaw, she said ""no its a Garnish and we cant do that"". She never asked if I wanted to maybe pay extra for a salad or maybe another item. I had to ask for vinegar for my fish, not really understanding at this point why I didnt jus pay and leave. I was so done so no matter what she said or did I wasnt hearing it. Next I asked for the manager, he proceeded to listen and apologize. 

The food really wasnt good after all this mishap, we paid and I left no Tip, which I have never done, this could have been my child. But I feel U should give 100% at work at all times, if not GO home, plenty of people need a job. Im not always happy at work either but I make sure I dont reflect this in my service to the public. Once a manager or owner of a business has mastered this with there employees U will have happy customers who will wait and return. I went to Olive Garden the next day, and the staff were all 100% my waiter earned the 20% I left him. I never asked for anything, he was very professional and they were busy on Memorial Day!!

Now this tops it off, before leaving I saw Miss Whitney show my receipt to the manager, I left no TIP, she made a weird face to him....really do U expect me to leave my hard earned money to someone who was rude to my family???  I wont return, my coins will B spent elsewhere....ENUFFSAID",2016-05-31 01:54:07
g3IpPMhi6Pjm18cVQp31wA,eUs966DryNx82-091dRXrg,L8rJht4Jw_BuR8gsckEWYg,5.0,0,0,0,"We love Cheesecake Factory! We make it a point to stop in here for lunch anytime we are leaving Charlotte to go home to Columbia. Today we had a great experience! 

We started with Tuna Tartare, which was beautifully presented and very fresh. We loved it, and it was a nice diversion from some of their ""not so healthy"" appetizers. For lunch, I ordered my favorite Louisiana Chicken Pasta and the S.O. ordered teriyaki chicken. Both were excellent! Our server was awesome and we really had a great lunch with several drinks. We don't love corporate places, but this place is an exception to that rule!",2016-06-11 21:32:50
6Y0SbI7IVG3SHG-UKlwkhw,QnAab8WSB67O05yfolmclw,L8rJht4Jw_BuR8gsckEWYg,5.0,0,0,0,Hibatchi steak was delicious!!! I had the white chocolate macadamia nut cheesecake for dessert because how can you resist their cheesecake options. Very good!!!,2016-02-12 04:52:00
lblHcanoDhtF-jekCHepqQ,FSw3Kk2Ssn6vUe9asc5vsA,L8rJht4Jw_BuR8gsckEWYg,2.0,2,3,0,"You know, I get it--the cheesecake here is really really good.  But everything about this place is really really bad.  

First, I cannot get over the fact that this place tries to pass itself off as fancy (valet parking, for example) when it is a) called ""The Cheesecake Factory"" and b) ATTACHED TO A MALL--arguably two of the least fancy things imaginable.  

The inside of this place is basically a glorified cafeteria--just a loud din of noise, which makes it even crazier that people dress up to go here. The food itself (even that which is not cheesecake related) is incredibly caloric and fattening.  I spent most of my life trying to avoid this place, and, I realized today, for good reason--this place is just thoughtless excess at its finest.",2011-02-13 21:57:55
mH1Udbb581tDA4uVeI4xjw,r7RdCrF0SpzFoUWFb_8oyA,L8rJht4Jw_BuR8gsckEWYg,4.0,2,1,1,"Enjoyable Cheesecake Factory experience! I've missed you CF! Haven't eaten at this chain in years since I moved away. The wait was an hour (as usual) but we were promptly seated at an hour. Our server was very quick and courteous. We were seated in the far left corner of restaurant by window and it was awesome and quiet! I got the shepherds pie and it was delicious as always. The only thing that drove us a bit crazy was the Coke we ordered tasted like Diet Coke for our first refill, then when we mentioned it, the third tasted like Coke Zero! Weird! I stopped drinking soda this month so serves me right I guess... :( 

Will definitely return ! :)",2016-01-30 04:01:50
mr5cUQcVyz6xEVyGEdMTVw,ImsG09KYJ4cfp2ZF4rmLlw,L8rJht4Jw_BuR8gsckEWYg,4.0,0,0,0,"I recommend the shrimp scampi paired with well...anything. This continues to be my very favorite dish after 20 years. My most favorite version is the traditional way it comes with angel hair pasta, but it's also awesome with one of the combination choices, like the herb crusted salmon. And it's hard to go wrong with any of the cheesecake, of course.",2016-05-07 03:18:07
